dis_1,dis_2,dis_3,dis_4,dis_5,dis_6,dis_7,dis_8,dis_9,dis_10,dis_11,dis_12,dis_13,row,col,distance
31.89043743820395,37.94733192202055,36.0,39.0,29.546573405388312,27.0,30.886890422961002,21.633307652783934,30.14962686336267,12.36931687685298,3.0,15.297058540778353,27.166155414412252,15,13,10.816653826391967
18.973665961010276,10.816653826391967,10.816653826391967,22.847319317591726,6.0,6.0,21.0,10.816653826391967,33.941125496954285,24.73863375370596,24.73863375370596,31.89043743820395,40.80441152620633,6,11,33.13608305156178
30.886890422961002,15.0,3.0,12.0,17.492855684535904,9.486832980505138,15.0,23.430749027719962,46.66904755831214,36.24913792078372,33.13608305156178,35.11409973215888,40.80441152620633,3,14,43.68065933568311
28.30194339616981,32.31098884280702,30.0,33.54101966249685,24.186773244895647,21.0,25.80697580112788,16.970562748477143,30.14962686336267,12.36931687685298,3.0,15.297058540778353,27.166155414412252,13,13,15.0
21.633307652783934,3.0,12.36931687685298,27.166155414412252,12.0,16.970562748477143,29.546573405388312,21.0,40.24922359499622,36.0,37.94733192202055,45.0,53.075418038862395,2,9,45.09988913511872
19.209372712298546,0.0,12.0,27.0,9.0,15.0,28.460498941515414,18.0,37.589892258425,33.0,35.11409973215888,42.638011210655684,51.08815909777921,3,9,42.1070065428546
27.65863337187866,45.69463863518345,51.61395160225576,61.554853586049575,37.589892258425,44.598206241955516,55.80322571321483,30.0,9.0,20.12461179749811,31.32091952673165,45.89117562233507,57.706152185014034,17,3,21.0
12.727922061357855,6.708203932499369,16.15549442140351,30.594117081556707,4.242640687119286,15.297058540778353,30.14962686336267,12.36931687685298,30.886890422961002,27.166155414412252,30.886890422961002,40.36087214122113,49.92995093127972,5,8,36.496575181789325
21.633307652783934,6.708203932499369,6.708203932499369,21.213203435596427,8.485281374238571,8.485281374238571,21.840329667841555,16.15549442140351,38.41874542459709,30.594117081556707,30.594117081556707,36.6196668472011,44.598206241955516,4,11,39.1152144312159
9.486832980505138,18.24828759089466,23.430749027719962,34.98571136907181,9.486832980505138,17.492855684535904,31.32091952673165,3.0,21.213203435596427,15.297058540778353,21.213203435596427,33.54101966249685,44.598206241955516,9,8,24.738633753705958
29.546573405388312,15.297058540778353,4.242640687119286,12.36931687685298,16.15549442140351,6.708203932499369,13.416407864998739,21.213203435596427,44.598206241955516,33.54101966249685,30.14962686336267,32.31098884280702,38.41874542459709,4,14,40.80441152620632
15.0,15.297058540778353,17.492855684535904,28.30194339616981,6.708203932499369,10.816653826391967,24.73863375370596,4.242640687119286,27.65863337187866,18.24828759089466,20.12461179749811,30.0,40.24922359499622,8,10,27.0
26.832815729997478,29.546573405388312,27.0,30.886890422961002,21.633307652783934,18.0,23.430749027719962,15.0,30.594117081556707,13.416407864998739,6.0,16.15549442140351,27.65863337187866,12,13,17.492855684535904
8.485281374238571,10.816653826391967,20.12461179749811,34.205262752974136,6.0,18.0,33.0,10.816653826391967,26.832815729997478,24.73863375370596,30.0,40.80441152620633,51.0,6,7,34.205262752974136
12.36931687685298,12.0,16.970562748477143,29.546573405388312,3.0,12.36931687685298,27.166155414412252,6.0,27.65863337187866,21.0,24.186773244895647,34.205262752974136,44.294469180700204,7,9,30.14962686336267
51.26402247190518,48.83646178829912,40.80441152620633,34.205262752974136,43.26661530556787,33.941125496954285,25.63201123595259,39.0,54.0,36.0,24.0,9.0,3.0,14,21,34.205262752974136
55.154328932550705,53.075418038862395,45.0,37.94733192202055,47.43416490252569,38.18376618407356,29.546573405388312,42.95346318982906,57.078892771321335,39.1152144312159,27.166155414412252,12.36931687685298,3.0,15,22,36.496575181789325
24.186773244895647,41.78516483155236,47.43416490252569,57.3149195236284,33.54101966249685,40.36087214122113,51.61395160225576,25.80697580112788,6.708203932499369,16.15549442140351,27.65863337187866,42.42640687119285,54.332310828824504,16,4,18.248287590894662
46.57252408878007,33.13608305156178,21.213203435596427,6.708203932499369,33.54101966249685,21.840329667841555,8.485281374238571,36.24913792078372,59.16924876994806,44.598206241955516,36.6196668472011,30.594117081556707,30.594117081556707,4,20,49.203658400570184
